"CHS_No","주5일이상아침식사결식률_청소년","신체이미지왜곡인지율_청소년","월간체중감소시도율_청소년","월간체중감소시도자의부적절한체중감소방법시도율_청소년","현재음주자의주류구매용이성_청소년","구매시도자의주류구매용이성_청소년","평생음주경험률_청소년","현재음주율_청소년","위험음주율_청소년","현재음주자의위험음주율_청소년","문제음주율_청소년","현재음주자의문제음주율_청소년","학교에서식사전비누이용손씻기실천율_청소년","집에서식사전비누이용손씻기실천율_청소년","주중평균수면시간_청소년","주관적수면충족률_청소년","학교에서점심식사후칫솔질실천율_청소년","주3일이상격렬한신체활동실천율_청소년","주3일이상근력강화운동실천율_청소년","안전띠착용률","횡단보도정지선준수율","횡단보도신호준수율","이륜차승차자안전모착용률","현재흡연자의담배구매용이성_청소년","구매시도자의담배구매용이성_청소년","주1일이상가정내간접흡연노출률_청소년","현재흡연율_청소년","매일흡연율_청소년","월20일이상흡연율_청소년","평생흡연경험률_청소년","의사수","치과의사수","한의사수","약사수","물리치료사수","작업치료사수","사회복지사수","인구천명당의료기관종사의사수","전문의합계","내과전문의","신경과전문의","정신건강의학과전문의","외과전문의","정형외과전문의","신경외과전문의","흉부외과전문의","성형외과전문의","마취통증의학과전문의","산부인과전문의","소아청소년과전문의","안과전문의","이비인후과전문의","피부과전문의","비뇨기과전문의","영상의학과전문의","방사선종양학과전문의","병리과전문의","진단검사의학과전문의","결핵과전문의","재활의학과전문의","핵의학과전문의","가정의학과전문의","응급의학과전문의","직업환경의학과전문의","예방의학과전문의","요양기관수_전체","요양기관수_상급종합병원","요양기관수_종합병원","요양기관수_병원","요양기관수_요양병원","요양기관수_의원","요양기관수_치과병원","요양기관수_치과의원","요양기관수_조산원","요양기관수_보건의료원","요양기관수_보건소","요양기관수_보건지소","요양기관수_보건진료소","요양기관수_한방병원","요양기관수_한의원","요양기관수_약국","의원_합계","의원_내과","의원_신경과","의원_정신건강의학과","의원_외과","의원_정형외과","의원_신경외과","의원_흉부외과","의원_성형외과","의원_마취통증의학과","의원_산부인과","의원_소아청소년과","의원_안과","의원_이비인후과","의원_피부과","의원_비뇨기과","의원_영상의학과","의원_병리과","의원_진단검사의학과","의원_결핵과","의원_재활의학과","의원_핵의학과","의원_가정의학과","의원_전문과목미표시전문의","의원_일반의","일반회계중보건세출비중","의료기관진료실인원_전체","의료기관진료비_전체","의료기관진료실인원_입원","의료기관진료비_입원","의료기관진료실인원_외래","의료기관진료비_외래","고혈압_진료실인원","고혈압_진료비","당뇨병_진료실인원","당뇨병_진료비","치주질환_진료실인원","치주질환_진료비","관절염_진료실인원","관절염_진료비","정신질환_진료실인원","정신질환_진료비","전염병_진료실인원","전염병_진료비","간질환_진료실인원","간질환_진료비","위암_진료실인원","위암_진료비","간암_진료실인원","간암_진료비","폐암_진료실인원","폐암_진료비","대장암_진료실인원","대장암_진료비","유방암_진료실인원","유방암_진료비","자궁경부암_진료실인원","자궁경부암_진료비","dia_grade","hbp_grade","dys_grade"
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.39237848,61.56165044,85.71177829,93.68593384,0,0,0,0,0,0,0,2073,419.3333333,150.4444444,404.1111111,104,19.88888889,9.333333333,16.27,1142.444444,231.3333333,34.33333333,61.88888889,82.11111111,53.66666667,39.66666667,24,15.22222222,54,51.88888889,67.66666667,50.11111111,44,25.44444444,32.44444444,92.55555556,8,29.77777778,19.44444444,0,12.77777778,8.444444444,67.77777778,24,8.444444444,3.444444444,648.6666667,2,2,2.111111111,0.333333333,169.4444444,1.444444444,170.6666667,0,0,1,0,0,1,127.6666667,171,169.4444444,10.55555556,0.444444444,12.22222222,4.111111111,6,3.444444444,0,2.333333333,4.666666667,8,5,9.555555556,14.44444444,7,9.555555556,1.222222222,0,0,0,0.444444444,0,8.111111111,37.66666667,24.66666667,1.939255556,1235067.333,954703210.1,101421.5556,398522753.8,1228832.111,504970794.9,17612.77778,7860686.778,7871.333333,5462183.778,49973.44444,6087885.556,17377.44444,5419044.333,8275.777778,8506917.333,27308.88889,5637055.111,3535,1330333.778,3535,1330333.778,211.2222222,1595678.111,246.5555556,1669936.667,469.2222222,2012977.222,495.4444444,1829859.667,113.5555556,320334.4444,"B","B","B"
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.79435498,52.00613778,86.91627739,91.45090311,0,0,0,0,0,0,0,858.1111111,281.6666667,131.5555556,276.8888889,85.55555556,2,6.777777778,9.794444444,614.5555556,99.55555556,11.11111111,18.22222222,53,31,9.555555556,5.555555556,10.22222222,25.66666667,78,20.33333333,28.77777778,30.44444444,23.66666667,30.44444444,43.33333333,4,11.44444444,6.666666667,1,4,1.555555556,56.88888889,7.555555556,1.444444444,1.111111111,714.2222222,0.555555556,2.444444444,2.111111111,0.333333333,208.7777778,7,221.6666667,0,0,1,0,0,1.111111111,93.44444444,175.7777778,208.7777778,22.11111111,1.222222222,5.222222222,3,7.666666667,0.666666667,0,4.555555556,2.666666667,9.222222222,3.666666667,14,17.11111111,12.55555556,11.22222222,0.666666667,0,0,0,2.444444444,0,4.777777778,52.88888889,33.11111111,2.221644444,914467.3333,335761930.3,53198.11111,104058640.1,909004.1111,209491936.7,15496.66667,6605203.667,6729.111111,4263871.333,42186.22222,5346370.667,14028,4789526.778,6585.333333,7420683.333,24596.66667,4916283.444,3135.555556,1241975.778,3135.555556,1241975.778,170.7777778,1282343.556,175.7777778,1398678.889,356.1111111,1600560.889,386.4444444,1542148.222,87.88888889,248483.7778,"A","B","B"
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.09250016,62.47109,88.90102602,86.81347126,0,0,0,0,0,0,0,554.4444444,131.5555556,75.33333333,186,50.88888889,4.555555556,2.333333333,3.186666667,343,77.33333333,4.222222222,7.111111111,23.11111111,18.88888889,9.222222222,3.777777778,4.888888889,11.66666667,22.11111111,29.33333333,13.44444444,14.44444444,11.44444444,7.222222222,19,1.555555556,7.666666667,10.66666667,1.888888889,6.222222222,0.333333333,31,4.333333333,2.111111111,0,419.8888889,0.888888889,1.333333333,1.333333333,0,116.3333333,0,105.6666667,0.555555556,0,1,0,0,0.333333333,61.77777778,130.6666667,116.3333333,17.11111111,0,1.222222222,2.222222222,6.222222222,2,0,0,1,8.444444444,8.777777778,5.469086021,7.777777778,3.666666667,1,0,0,0,0,1.222222222,0,2.111111111,36.66666667,11.33333333,2.256455556,475997.3333,233005299.2,32578.22222,83560787.89,472254,133495301.1,25888.66667,11837328,10746.11111,7217134.333,72441.33333,8695704.444,22964.22222,7416263.778,11528.11111,10857203,45060.66667,8892583.222,5985.111111,2051426.667,5985.111111,2051426.667,291.2222222,2236678.111,306,2418811.667,600.6666667,2726428.778,728.6666667,2630327.556,166.2222222,409268.6667,"B","B","B"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.45325456,62.06941956,89.97993738,81.19090803,0,0,0,0,0,0,0,727.8888889,152.2222222,91.77777778,236.7777778,90.66666667,10.44444444,6,3.212222222,415.5555556,84.44444444,10.77777778,10.22222222,23.22222222,33,10.44444444,7.555555556,6.333333333,21.22222222,29.44444444,31.11111111,13.22222222,24,9.444444444,11.22222222,19.33333333,2,10,11,1,9.111111111,1.777777778,28.11111111,4.333333333,1.888888889,1.333333333,527.5555556,1,0,5.666666667,1.777777778,171.2222222,1.333333333,113.6666667,0,0,1,0,0,0.444444444,77.55555556,153.8888889,171.2222222,22.66666667,1.444444444,4.444444444,3.444444444,10,2.111111111,0,1.222222222,6.222222222,10.77777778,18.66666667,8.666666667,15.88888889,5.777777778,4.777777778,0.444444444,0.777777778,0,0,1.333333333,0,4,35.88888889,12.66666667,2.486544444,570289.5556,303882712.7,30418.77778,95229316.89,566933.3333,188413986.9,32886.88889,14958545.78,14095.66667,8880405.556,94377.11111,11014075.44,30752,9971567.667,13706,13292092,57596,9814487.889,6912.666667,2316818.556,6912.666667,2316818.556,355.5555556,2657969.667,370.5555556,2846177,742.1111111,3463288.444,758.6666667,3031010.889,161.3333333,388393.7778,"B","B","A"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.28673496,62.22393333,93.30419389,77.74414438,0,0,0,0,0,0,0,821.7777778,183.3333333,127.1111111,280,136.7777778,13.88888889,18.22222222,3.075555556,578,103.5555556,10.77777778,47.33333333,41.11111111,38.66666667,11.33333333,11.22222222,4.888888889,31.22222222,51.66666667,37.44444444,17.66666667,31.88888889,20.33333333,13.88888889,29,1.333333333,5.666666667,7.666666667,0,12.33333333,2,39.77777778,7.222222222,0,0,690.6666667,0.555555556,1.444444444,4,1,246.4444444,2,141.4444444,0,0,1,0,0,0.333333333,114.6666667,177.7777778,246.4444444,34.44444444,0.777777778,14.44444444,8.222222222,15.44444444,0.777777778,0.444444444,0.555555556,7.444444444,14,20.77777778,12.66666667,18.44444444,12.44444444,5.444444444,1,0,0,0,3.444444444,0,6.111111111,52.66666667,16.88888889,3.014933333,716108.7778,400129423.1,45683.44444,130512676.2,711466.2222,243489801.3,35459.11111,16167698.56,15103.77778,10105646.89,113591.7778,12930662.22,37200.77778,11053878.89,15550.11111,14363972.11,68037.22222,11304719.56,7768.777778,2496774.444,7768.777778,2496774.444,408.4444444,2985424.333,406.3333333,3255131.667,837.5555556,3665912.444,976.4444444,3779792.222,189,478909.4444,"B","B","A"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.76348102,59.36190933,86.13765828,79.19388909,0,0,0,0,0,0,0,1162.555556,321.1111111,318.6666667,405.2222222,273.4444444,42.88888889,28.88888889,4.958888889,733.5555556,149.7777778,15.22222222,40.33333333,42,71.88888889,20.44444444,10,7.333333333,39.77777778,55.77777778,38.11111111,24.77777778,33.33333333,11.88888889,30.33333333,39.55555556,3.333333333,11,10,2.333333333,21.88888889,2,38.33333333,10.11111111,2,2,864.2222222,1,4,12.77777778,6.333333333,238.8888889,3.444444444,142,1,0,1,0,0,1.111111111,186,266.6666667,238.8888889,40.55555556,2,8.111111111,8.111111111,19.88888889,0.777777778,0,3,7.222222222,18.11111111,15.33333333,12.11111111,20.55555556,5.333333333,13.22222222,2.111111111,1,0,0,6.222222222,0,5.555555556,30.44444444,19.22222222,2.351011111,917022.3333,584946006.9,73843.44444,218290893,909610.3333,329799585,40768.44444,18626759.22,17976.88889,12297246.44,109839.5556,13556497.78,41699,13272528.56,16377.88889,17731679.22,66453.66667,12391350.78,8373,3060106.444,8373,3060106.444,435.3333333,3386341.333,456.3333333,3513293.444,941,4278011.444,959.8888889,3631137.222,203.8888889,526047,"A","B","A"
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.21824948,63.82017444,88.0436202,75.72947683,0,0,0,0,0,0,0,498.4444444,141.1111111,117.2222222,264,215.4444444,42.66666667,25.55555556,1.803333333,409.8888889,72.55555556,7.777777778,16.22222222,27.77777778,43.33333333,14.77777778,2.444444444,0.555555556,17.88888889,34.11111111,31.77777778,13.77777778,23.66666667,14.88888889,9.888888889,14,0,2.333333333,3.666666667,0,10.44444444,0.888888889,36.88888889,7.777777778,2.333333333,0.111111111,650.1111111,0,2,10.88888889,4.111111111,219.2222222,0,128.4444444,0,0,1,0,0,0.222222222,100.8888889,183.3333333,219.2222222,32.11111111,1,4.111111111,8.555555556,20.77777778,2.777777778,0,0,5.222222222,14.11111111,19.22222222,11.33333333,21,11.44444444,5.666666667,0,0,0.111111111,0,1.444444444,0,5.111111111,41.88888889,13.33333333,2.314622222,602043,310436309.3,34911.44444,92950065,598098,199081565.6,48138.55556,21371782.44,19979.33333,13443812.22,124201.8889,15373531.56,47593.88889,15058923.11,19305.11111,19293984.67,77943.22222,12977614.33,9745.666667,3441445.333,9745.666667,3441445.333,466,3683388.111,498.3333333,4106531.667,1035.111111,4730079.222,1096.555556,4302035,304.1111111,728821.3333,"A","A","A"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.26098833,66.55548144,91.46458739,85.32349259,0,0,0,0,0,0,0,842.7777778,199.4444444,137.8888889,330.3333333,220,33.88888889,10.22222222,2.497777778,593.2222222,121.5555556,12,15.88888889,44.88888889,42.88888889,20.33333333,8.777777778,11,30,42.55555556,43.44444444,21.66666667,31.22222222,19,12.33333333,23.55555556,3.111111111,6.888888889,7.555555556,1,13.55555556,2,52.88888889,3.666666667,0,1.444444444,780.3333333,1,0,5.333333333,5.444444444,262,1.555555556,150.8888889,0,0,1,0,0,0.555555556,118.1111111,234.4444444,262,36.55555556,0.777777778,7.666666667,8.555555556,20.44444444,2.888888889,0.111111111,4.333333333,4.777777778,15.33333333,24.44444444,12.22222222,21,7.666666667,3.222222222,1.222222222,0,1.666666667,0,3.333333333,0,17.88888889,43.33333333,24.55555556,2.657155556,803383,458497075.8,52357.44444,159260934.8,798426.8889,269716325.4,52189.44444,23612324.89,22722.55556,14321960.11,147468.2222,17713865.89,49451.77778,15434392.33,21582.11111,20759899.67,88954.55556,14575007.11,10036.22222,3508051.889,10036.22222,3508051.889,530.7777778,3988541.222,546.5555556,4311429.556,1252,5639052.778,1254.444444,4719110.444,287.7777778,744838.3333,"B","B","B"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.57819222,63.63041778,89.76028937,85.50589766,0,0,0,0,0,0,0,364.5555556,141.8888889,98.22222222,231.4444444,187.4444444,33.88888889,9.111111111,1.786666667,333,49.22222222,2.888888889,11.22222222,33.11111111,23.55555556,8.222222222,4.666666667,3.888888889,22.66666667,32.88888889,23.11111111,20.44444444,23.33333333,6.444444444,15.11111111,4.777777778,0,0,1,1,14.88888889,1.111111111,28,0.666666667,0,0.777777778,595.8888889,0,1,8.555555556,4.111111111,214.5555556,1.222222222,107.2222222,0,0,1,0,0,0.444444444,88,169.7777778,214.5555556,33.22222222,1,8.777777778,9.888888889,13.22222222,2.333333333,0,3.555555556,9.666666667,10.77777778,12.88888889,11.77777778,18.88888889,5.111111111,5.555555556,1.777777778,0,0,0,2.222222222,0,1.888888889,50,12,2.791555556,568109.8889,229867298,28189.66667,44216769.78,563832.1111,167821076.7,43504.77778,19412208.56,17697.66667,11084387.33,101238.7778,12533669.67,41000.22222,13422704,16709.11111,16823392.33,61398.77778,10315815.11,9074.444444,2974757.111,9074.444444,2974757.111,431.3333333,3020951.222,427.2222222,3148936.444,992.7777778,4283296.667,932.5555556,3877876.556,237.1111111,646411.1111,"B","A","A"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.04153547,68.73378889,92.33792039,82.6012707,0,0,0,0,0,0,0,377.4444444,122.8888889,93.11111111,190.6666667,149.8888889,28.11111111,13.88888889,1.644444444,305.2222222,59.11111111,8.333333333,13.11111111,22.33333333,28,8.222222222,3.888888889,2.888888889,14.88888889,21.55555556,30.77777778,13.55555556,17.55555556,6.777777778,9.666666667,11.77777778,0,1,1.111111111,1.222222222,7.333333333,1.111111111,16,4.333333333,0.666666667,0,467,0,1,7.777777778,6.888888889,152.3333333,1.222222222,94.22222222,0,0,1,0,0,0.111111111,79,123.4444444,152.3333333,25.66666667,0,3,7.222222222,8.666666667,1.222222222,0,0,4.111111111,8,17.88888889,10.22222222,15.11111111,5.555555556,2.555555556,0.222222222,0,0,0,2.222222222,0,3,23.88888889,13.77777778,2.699977778,518134.8889,257348723.2,32027.66667,79372339.56,514254,160489314.8,42746,20234412.11,17459.22222,11019059.22,110437.6667,13269397.33,38833.44444,11796624.22,16760.22222,16403282.89,68286.55556,10252215.78,9911.888889,3034417.778,9911.888889,3034417.778,438.6666667,3243038.556,463.2222222,3424364.111,1162.777778,4289411.444,1022.666667,4055564.556,251,556920.6667,"B","A","A"
